id,term,site_page,definition,url_display,url_path,API_Call,Variables
10,Discretionary,Spending Explainer,"Discretionary spending is determined by the President and Congress each year in the budget and appropriations process and includes spending for most defense, education, and transportation programs.",,,,
12,Excise,Revenue Explainer & AFG Overview Page,"A tax collected on certain goods and commodities produced or sold within the country (i.e. alcohol and tobacco, gasoline) and on licenses granted for certain activities (i.e. import/export license).",,,,
13,Expenditures,Revenue Explainer,"Government expenditure refers to the purchase of goods and services by the government. Such purchases can include public investments and expenses, as well as disbursements and transfer payments consisting of income transfers (i.e. pensions, social benefits) and capital transfer (i.e. construction grants).",,,,
14,Federal Debt,"Spending Explainer, Interest Expense Insight, and State and Local Government Series Insight",The federal debt is the total amount of outstanding borrowing by the U.S. federal government accumulated over the nation’s history. ,,,,
15,Fiscal Year,"Debt, Deficit, Revenue, Spending, & Savings Bonds explainer","The fiscal year is an accounting period spanning 12 months. For the federal government, it runs from October 1 to September 30. For example, Fiscal Year 2024 (FY 2024) started October 1, 2023, and ended September 30, 2024. A fiscal year may be broken down into quarters. For the federal government these quarters are: Q1: October – December, Q2: January – March, Q3: April – June, and Q4: July – September.",,,api.fiscaldata.treasury.gov/services/api/fiscal_service/v1/accounting/dts/operating_cash_balance?sort=-record_date&page[size]=1,"record_fiscal_year -1
record_fiscal_year - 2
record_fiscal_year - 1"
16,Floating Rate Notes,Debt explainer,Floating rate notes (FRNs) are government securities issued for a term of two years and pay varying amounts of interest quarterly until maturity. Interest payments rise and fall based on discount rates in auctions of 13-week Treasury bills. For more information on floating rate notes visit TreasuryDirect.,TreasuryDirect,https://www.treasurydirect.gov/marketable-securities/floating-rate-notes/,,
17,Government Account Series,Savings Bonds explainer,A Treasury security that is issued directly to a Government Investment Account and may not be sold in the secondary market.,,,,
18,Gross Domestic Product (GDP),Debt explainer & Deficit explainer,This value is a comprehensive measure of a country's economic activity over a defined period of time. GDP is the value of the final goods and services produced within a country and is usually measured by year. The growth rate of GDP is the most frequently cited indicator of economic health.,,,,
19,Interest Expense,"Interest Expense Insight, Debt explainer",The interest that the government pays on its outstanding loans. It can be referred to as the cost to the U.S. for borrowing money. It is the sum of interest paid at the interest rate applicable for each outstanding loan held by the government. It can be measured as either gross or net interest expense. Net interest expense does not include interest paid back to the federal government on intragovernmental holdings.,,,,
20,Interest Rates,"Debt explainer, Interest Expense Insight",This is the annual percentage rate of interest paid on a specific debt security.,,,,
21,Intragovernmental Holdings,Debt explainer & Savings Bonds explainer,"These comprise debt that one part of the U.S. Federal Government owes to another part. This represents cases where Social Security, Medicare, and other federal programs collect more revenue than they need in a year and then purchase Treasury debt for their trust funds.",,,,
22,Mandatory,Spending Explainer,Mandatory spending is dictated by laws and includes spending for entitlement programs like Social Security and Medicare.,,,,
23,Marketable Securities,Debt & Savings Bonds explainer,"These securities (Treasury Bills, Treasury Bonds, Treasury Notes, and Treasury Inflation Protected Securities) can be traded on the secondary market and have ownership transferred from one person or entity to another.",,,,
24,Matured Unredeemed Debt (MUD),Savings Bonds Explainer,"Savings bonds that have reached full maturity and stopped earning interest but have not been redeemed by the owner. By law, savings bonds never expire and there is no deadline for owners to redeem their bonds; therefore, the government remains responsible for this debt.",,,,
25,Non-Marketable Securities,"Debt explainer, Savings Bonds explainer, and State and Local Government Series Insight","The holder of these securities (Savings Bonds, Government Account Series, and State and Local Government Series) cannot sell them to other investors.",,,,
26,Notes,Debt explainer,"Notes are government securities that are issued with maturities of 2, 3, 5, 7, and 10 years and pay interest every six months. Financial news outlets often report on the changing interest rates of these notes which are commonly referred to by their maturity length (ex. 10 Year T (Treasury) Note). For more information on Treasury notes visit TreasuryDirect.",TreasuryDirect,https://treasurydirect.gov/marketable-securities/treasury-notes/,,
27,Object Class,Spending Explainer,"An object class groups obligations in the budget by the types of items or services purchased by the federal government (e.g., ""Personnel Compensation"" and ""Equipment"").",,,,
30,Revenue,"Debt, Deficit & Spending explainer","Revenue is money that the federal government collects. Federal revenue comes from a variety of sources, including individual income taxes, payroll taxes, corporate income taxes, and excise taxes.
Revenue, also referred to as ""receipts,"" can be classified into two major categories: Budget receipts are collections from the public that result from the exercise of the federal government's sovereign powers. These collections consist mainly of tax revenue, revenue from court fines, certain licenses, and deposits of earnings by the Federal Reserve System. Offsetting collections differ from budget receipts in that they result from activities that are of a business-type or market-oriented nature, not the exercise of the federal government's sovereign powers. An example of an offsetting collection would be park entrance fees collected by the National Park Service.",,,,
31,Savings Bonds,Savings Bonds Explainer,"Savings bonds are low-risk, interest-bearing loans to the federal government that can be purchased by individual investors. They are a type of security that the government uses to finance its operations. ",,,,
32,Series EE Bonds,Savings Bonds Explainer,A type of savings bond that is guaranteed to double in value in 20 years and earns a fixed rate of interest.,,,,
33,Series I Bonds,Savings Bonds Explainer,"A type of savings bond that protects against inflation. I bonds earn a fixed rate of interest and a variable rate based on inflation. The overall rate is reset twice a year and will never be less than 0%, even in periods of deflation.",,,,
34,Spending,"Debt explainer, Deficit Explainer","Spending occurs when federal money is actually paid out, not just promised to be paid (""obligated""). Spending generally is equal to cash disbursements, but also is recorded for cash-equivalent transactions, such as the issuance of debentures to pay insurance claims, and in a few cases are recorded on an accrual basis such as interest on public issues of the public debt. The federal government spends money for programs (ex. Pell Grants), services (ex. FEMA aid), and interest incurred on outstanding federal debt, including Treasury notes and bonds.",,,,
35,State and Local Government Series,"Savings Bonds Explainer and State and Local Government Series Insight",A Treasury security that is issued to state and local governments or other entities (such as a school system) that issue municipal bonds to assist with compliance of federal tax laws and Internal Revenue Service (IRS) regulations.,,,,
36,Supplemental Appropriations,Spending Explainer,"A supplemental appropriation is budget authority granted in an appropriations act outside of the annual appropriation process. They generally are made to address emergencies, such as disaster relief, or other needs deemed too urgent to be postponed until the enactment of next year's regular appropriation act.",,,,
37,Surplus,Deficit explainer,When revenue exceeds spending; the difference is a surplus. The federal government uses the surplus primarily to reduce the national debt.,,,,
38,Total Public Debt Outstanding,State and Local Government Series Insight,"The total amount of federal debt that includes both debt held by the public and intragovernmental holdings. Total public debt outstanding is composed of Treasury Bills, Notes, Bonds, Treasury Inflation-Protected Securities (TIPS), Floating Rate Notes (FRNs), and Federal Financing Bank (FFB) securities, as well as Domestic Series, Foreign Series, State and Local Government Series (SLGS), U.S. Savings Securities, and Government Account Series (GAS) securities.",,,,
39,Treasury Inflation Protected Securities (TIPS),Debt explainer,"TIPS are marketable securities whose principal is adjusted by changes in the Consumer Price Index. TIPS pay interest every six months and are issued with maturities of 5, 10, and 30 years. For more information on TIPS visit TreasuryDirect.",TreasuryDirect,https://www.treasurydirect.gov/indiv/products/prod_tips_glance.htm,,
40,Treasury Security,"Savings Bonds Explainer, Interest Expense Insight, and State and Local Government Series Insight",A loan issued by the U.S. Department of the Treasury to an investor. The investor lends money to the government at terms and conditions consistent with the type of security purchased. Treasury securities are low-risk investments because they are backed by the full faith and credit of the U.S. government.,,,,
41,Trust Funds,Revenue Explainer,A type of account for revenue or offsetting revenue dedicated to specific purposes and the spending of that revenue. Some revolving funds are designated as trust funds.,,,,
28,Obligation,Spending Explainer,"When awarding funding, the U.S. government enters a binding agreement called an obligation. The government promises to spend the money, either immediately or in the future. An agency incurs an obligation, for example, when it places an order, signs a contract, awards a grant, purchases a service, or takes other actions that require it to make a payment.",,,,
29,Outlay,Spending Explainer,"An outlay occurs when federal money is actually paid out, not just promised to be paid (""obligated"").",,,,
31,Combined Rate,I Bonds Interest Rates,The combined rate is calculated using the fixed rate and inflation rate. Also referred to as the composite rate or earnings rate. It changes every 6 months as the inflation rate changes. I bonds protect buyers from inflation because when inflation increases, the combined rate increases. Composite rate formula: Fixed rate + (2 x semiannual inflation rate) + (fixed rate x semiannual inflation rate).,,,
32,Fixed Rate,I Bonds Interest Rates,An interest rate that remains constant over the life of a loan or investment. For Treasury Securities with a fixed rate, the interest rate will remain constant until the security has reached maturity.,,,
33,Receipts,Monthly Treasury Statement,Money coming in to the United States government. Also referred to as revenue.,,,,
34,Excise Tax,"Monthly Treasury Statement,  Daily Treasury Statement","Taxes levied on the sale or production of specific goods, services, or activities. Examples could include items like gasoline, alcohol, tobacco, or may be applied to particular taxes on imported goods.", services, , alcohol, tobacco
35,Consumer Price Index (CPI),TIPS and CPI Data,"The consumer price index (CPI) measures changes through time in the price level of consumer goods and services purchased by households. In the United States, the CPI is defined by the United States Bureau of Labor Statistics as ""a measure of the average change over time in the prices paid by urban consumers for a market basket of consumer goods and services."" The CPI-U, or the Consumer Price Index for all Urban Consumers is used to adjust the principal of a Treasury Inflation-Protected Security (TIPS) and to determine the inflation rate component of the I Bond interest rate."," the CPI is defined by the United States Bureau of Labor Statistics as ""a measure of the average change over time in the prices paid by urban consumers for a market basket of consumer goods and services."" The CPI-U", ,,
36,Index Ratio,TIPS and CPI Data,"A way to compare the value of something to a benchmark or index, such as the Consumer Price Index (CPI). For Treasury Inflation-Protected Securities, the value is calculated by dividing the reference CPI on the issue date of the security by the reference CPI on the original dated date of the security being announced/auctioned.", , ,,
37,Inflation,TIPS and CPI Data,"Inflation is a rise in the general level of prices of goods and services in an economy over a period of time. When the general price level rises, each unit of currency buys fewer goods and services.",,,,
38,Inflation Compensation,TIPS and CPI Data,The amount of money positive or negative for investment accounts that had investments in Treasury Inflation Protection Securities during a given reporting period. Positive amounts reflect inflation and negative amounts reflect deflation.,,,,
39,Accrual,Treasury Report on Receivables,"The amount of money earned or incurred, regardless of whether the actual money has been received or paid yet.",,,,
40,Delinquent Debt,Treasury Report on Receivables,"Money owed to the United States by an individual, organization, or entity other than another federal agency. A non-tax debt is considered delinquent if it has not been paid by the date specified in an agency's initial written demand for payment or applicable agreement.",,,,
41,Collections,Treasury Report on Receivables,"Generally, the amount of delinquent debt collected during a given reporting period. Federal creditor agencies utilize a combination of debt collection tools, including administrative wage garnishment (AWG), use of private collection agencies (PCAs), offset of Federal and State payments through the Treasury Offset Program (TOP), use of Fiscal Service's Cross-Servicing Program (CS), and litigation). Before using most collection tools, federal creditor agencies must first provide debtors with due process",,,,
42,Cross-Servicing,Treasury Report on Receivables,The process by which federal creditor agencies refer delinquent federal non-tax debt to Fiscal Service for collection through its delinquent debt collection programs.,,,,
43,Receivables,Treasury Report on Receivables,"Refers to money owed to and collected by the United States for delinquent and non-delinquent debt. Based on polices from Congress and the President, federal creditor agencies make loans to borrowers, guarantee loans made by private lending institutions, and impose fines and penalties. These activities result in the creation of accounts receivable as assets of the government. In addition, federal creditor agencies award grants, make payments, and provide other services, which, in certain circumstances, can also result in the creation of accounts receivable.",,,,
44,Exchange Rate,Treasury Reporting Rates of Exchange,The value of one country's currency compared to another country's currency. ,,,,
45,Auction,Treasury Securities Auction Data,"The process for selling and issuing marketable U.S. Treasury Securities. Auctions are publicly announced and open to the public. At the auction, Treasury first accepts all non-competitive bids that comply with the auction rules. Then it accepts competitive bids based on their rate, yield, or discount margin until the entire offering has been awarded. All successful bidders get the same rate, yield, or discount margin as the highest acceptable bid. After the auction, the securities are issued a few days to a few weeks later.",,,,
46,CUSIP,Treasury Securities Auction Data,"A unique nine-character combination assigned to a security being announced/auctioned. They are provided by the CUSIP (Committee on Uniform Securities Identification Procedures) Service Bureau, which is operated by Standard & Poors for the American Bankers Association.",,,,
47,Floating Rate,Treasury Securities Auction Data,"An interest rate that can change over time. As interest rates rise, a security's interest payments will increase. Similarly, as interest rates fall, the security's interest payments will decrease.","","","",
48,Discount Rate,Treasury Securities Auction Data,"The rate of return, on an annual basis, on Treasury bills held until they mature. The discount rate is expressed in percentage terms and based on a 360-day year.",,,,
49,Net Long Position,Treasury Securities Auction Data,"The amount of relevant securities that a person or entity already owns. This includes holdings, certain trading positions, and any futures or forward contracts that require delivery of a security being auctioned (including any STRIPS principal components). ",,,,
50,Buyback,Treasury Securities Buybacks,"An operation in which the Treasury  uses money received from the sale of an obligation and other money in the general fund to ""buy, redeem, or refund"" Treasury Securities. These operations are authorized by Section 3111 of Title 31 of the United States Code.",,,,
51,Yield,Treasury Security Auctions Data,"Annual rate of return on a security. Yield can be expressed as the ""yield at auction"", which means the annualized rate of return to maturity on a fixed principal security. It is expressed as a percentage. For inflation-protected securities, yield refers to the real yield.",,,,
52,Outstanding,"U.S. Treasury Monthly Statement of the Public Debt, Treasury Report on Receivables ","Generally, refers to money that is owed but has not yet been paid. This may refer to debt owed to the United States government that may be delinquent or non-delinquent. It  also refers to U.S. Treasury Securities that have been issued by the Bureau of Fiscal Service that make up the Total Public Debt Outstanding.",,,,
30,Treasury Account Symbol (TAS),Federal Investments Program: Statement of Account,"Treasury and OMB assign a code to each appropriation, receipt, or fund account. This code is similar to a bank account number. It helps identify financial transactions in the federal government. It also aids in reporting accuracy. TAS are sometimes referred as ‘program source’ in legislation. On this website, we group each set of Treasury Accounts that share an Agency Identifier and Main Account Code into a ""Federal Account"".

Seven components make up the TAS:

Allocation Transfer Agency Identifier (ex. 089)
Agency Identifier (ex. 020)
Beginning Period of Availability (ex. 2017)
Ending Period of Availability (ex. 2018)
Availability Type Code (used if there are not specific beginning/ending years) (ex. X)
Main Account Code (ex. 0114)
Sub Account Code (ex. 000)",,,,
